grammatical,ungrammatical
Den gäller även för oskifta dödsbon och familjestiftelser.,Den gäller även för oskift dödsbon och familjestiftelser.
"Dessa inkomster är * inkomst av tjänst - lön, pension, livränta, undantagsförmåner och övrig tjänsteinkomst. (Undantag: periodiskt understöd eller därmed jämförlig periodisk inkomst.) * inkomst av jordbruksfastighet - om den skattskyldige arbetat i jordbruket i ej blott ringa omfattning. * inkomst av rörelse - om den skattskyldige arbetat i rörelsen i ej blott ringa omfattning.","Dessa inkomster är * inkomst av tjänst - lön, pension, livränta, undantagsförmåner och övrig tjänsteinkomst. (Undantag: periodisk understöd eller därmed jämförlig periodisk inkomst.) * inkomst av jordbruksfastighet - om den skattskyldige arbetat i jordbruket i ej blott ringa omfattning. * inkomst av rörelse - om den skattskyldige arbetat i rörelsen i ej blott ringa omfattning."
"Sådana B-inkomster är t.ex. inkomst av kapital, tillfällig förvärvsverksamhet, periodiskt understöd.","Sådan B-inkomster är t.ex. inkomst av kapital, tillfällig förvärvsverksamhet, periodiskt understöd."
"För fysiska personer, dödsbon och familjestiftelser slopas rätten att göra avdrag för kommunalskatten fr.o.m. den självdeklaration som skall avlämnas 1972.","För fysisk personer, dödsbon och familjestiftelser slopas rätten att göra avdrag för kommunalskatten fr.o.m. den självdeklaration som skall avlämnas 1972."
Sådant avdrag medges på sätt framgår av nedanstående tablå.,Sådan avdrag medges på sätt framgår av nedanstående tablå.
Höjt avdrag för underhållsbidrag till icke hemmavarande barn,Höjd avdrag för underhållsbidrag till icke hemmavarande barn
Avdrag för utgivet underhållsbidrag till icke hemmavarande barn höjs från 1000 kr till 1500 kr per barn och år.,Avdrag för utgiven underhållsbidrag till icke hemmavarande barn höjs från 1000 kr till 1500 kr per barn och år.
Det räcker med att intyg eller annat skriftligt bevis bifogas deklarationen.,Det räcker med att intyg eller annan skriftligt bevis bifogas deklarationen.
Som bevis torde godtas dom eller avtal om underhållsskyldighet jämte kvitto på betalt belopp eller intyg från trovärdig person.,Som bevis torde godtas dom eller avtal om underhållsskyldighet jämte kvitto på betald belopp eller intyg från trovärdig person.
Kommunalt grundavdrag kan avräknas även från inkomst i annan kommun än hemortskommunen.,Kommunal grundavdrag kan avräknas även från inkomst i annan kommun än hemortskommunen.
För ena maken outnyttjat grundavdrag eller del därav kan inte överföras till den andra maken.,För ena maken outnyttjad grundavdrag eller del därav kan inte överföras till den andra maken.
I sådant fall har dock den andra maken rätt till skattereduktion (se nedan).,I sådan fall har dock den andra maken rätt till skattereduktion (se nedan).
Särskilda regler gäller för * skattskyldig som varit bosatt här i riket under en mindre del av beskattningsåret * skattskyldig som haft inkomst som beskattas enligt förordningen om sjömansskatt.,Särskild regler gäller för * skattskyldig som varit bosatt här i riket under en mindre del av beskattningsåret * skattskyldig som haft inkomst som beskattas enligt förordningen om sjömansskatt.
Gifta pensionärer blir skattefria om sidoinkomsten uppgår till högst 2000 kr för makarna tillsammans.,Gift pensionärer blir skattefria om sidoinkomsten uppgår till högst 2000 kr för makarna tillsammans.
Den koncentrerade militära utbildning som du får sker av praktiska skäl i en internatförläggning - i kasern.,Den koncentrerade militära utbildning som du får sker av praktisk skäl i en internatförläggning - i kasern.
"Du skall nämligen inte bara skaffa dig vissa kunskaper, du skall också lära dig leva ihop med dina kamrater och så småningom sammangjutas med dem till ett förband.","Du skall nämligen inte bara skaffa dig viss kunskaper, du skall också lära dig leva ihop med dina kamrater och så småningom sammangjutas med dem till ett förband."
En sekunds tvekan eller dröjsmål eller ett till synes oskyldigt slarv kan kosta dig och även kamraterna livet.,En sekunds tvekan eller dröjsmål eller ett till synes oskyldig slarv kan kosta dig och även kamraterna livet.
Detta kan bli ett problem men också en källa till samhörighet och glatt kamratskap.,Detta kan bli ett problem men också en källa till samhörighet och glad kamratskap.
"Gott humör, renhårighet och hjälpsamhet skapar gemensam trevnad.","God humör, renhårighet och hjälpsamhet skapar gemensam trevnad."
Du kan inte räkna med att få något större utrymme för privata persedlar.,Du kan inte räkna med att få något större utrymme för privat persedlar.
"Eftersom olika soldater i ett modernt försvar har olika uppgifter, som tar olika lång tid att lära, måste utbildningstiden variera.","Eftersom olika soldater i ett modern försvar har olika uppgifter, som tar olika lång tid att lära, måste utbildningstiden variera."
De utbildas främst för andra uppgifter än strid.,De utbildas främst för annan uppgifter än strid.
Denna särskilda utbildning kan du ha god nytta av när du sedan söker civilt arbete.,Denna särskilda utbildning kan du ha god nytta av när du sedan söker civil arbete.
"Värnpliktiga som fullgör längre tjänst än 300 dagar får särskilda premier, som växer med tjänstgöringens längd.","Värnpliktiga som fullgör längre tjänst än 300 dagar får särskild premier, som växer med tjänstgöringens längd."
Nytt system för ersättning av kostnader vid läkarvård på sjukhusmottagning och hos provinsialläkare.,Ny system för ersättning av kostnader vid läkarvård på sjukhusmottagning och hos provinsialläkare.
Ändrade förmåner vid s k halvöppen vård.,Ändrad förmåner vid s k halvöppen vård.
Nytt system för ersättning av kostnader vid läkarvård,Ny system för ersättning av kostnader vid läkarvård
