grammatical,ungrammatical
Genom skattereformen införs individuell beskattning (särbeskattning) av arbetsinkomster.,Genom skattereformen individuell beskattning (särbeskattning) av arbetsinkomster införs.
"Sådana B-inkomster är t.ex. inkomst av kapital, tillfällig förvärvsverksamhet, periodiskt understöd.","Sådana B-inkomster inkomst av kapital, tillfällig förvärvsverksamhet, periodiskt understöd är t.ex.."
"För fysiska personer, dödsbon och familjestiftelser slopas rätten att göra avdrag för kommunalskatten fr.o.m. den självdeklaration som skall avlämnas 1972.","För fysiska personer, dödsbon och familjestiftelser rätten att göra avdrag för kommunalskatten slopas fr.o.m. den självdeklaration som skall avlämnas 1972."
I självdeklarationen 1971 - som alltså avser 1970 års inkomster - får avdrag göras som tidigare.,I självdeklarationen 1971 - alltså avser 1970 års inkomster - som får avdrag göras som tidigare.
Med makar likställs de som utan att vara gifta lever tillsammans om de tidigare varit gifta med varandra eller har eller har haft barn gemensamt.,Med makar de som utan att vara gifta lever tillsammans likställs om de tidigare varit gifta med varandra eller har eller har haft barn gemensamt.
Dessutom höjs åldergränsen till 18 år.,Dessutom åldergränsen höjs till 18 år.
Som bevis torde godtas dom eller avtal om underhållsskyldighet jämte kvitto på betalt belopp eller intyg från trovärdig person.,Som bevis dom eller avtal om underhållsskyldighet jämte kvitto på betalt belopp eller intyg från trovärdig person torde godtas.
Vid högre taxerad inkomst sjunker avdraget med en femtedel av det belopp som överstiger 30000 kronor.,Vid högre taxerad inkomst avdraget sjunker med en femtedel av det belopp som överstiger 30000 kronor.
I sådant fall har dock den andra maken rätt till skattereduktion (se nedan).,I sådant fall den andra maken har dock rätt till skattereduktion (se nedan).
"I det nya skattesystemet bibehålls den gamla regeln att skattskyldig som bara har folkpension, inte påförs någon skatt.","I det nya skattesystemet den gamla regeln att skattskyldig som bara har folkpension, inte påförs någon skatt bibehålls."
En nyhet är att det kommunala bostadstillägget blir skattefritt oavsett hur hög inkomst folkpensionären har.,En nyhet det kommunala bostadstillägget är att blir skattefritt oavsett hur hög inkomst folkpensionären har.
Dessutom kommer en ensamstående folkpensionär att kunna ha en inkomst om 1500 kr vid sidan av folkpensionen och ändock bli skattefri.,Dessutom en ensamstående folkpensionär kommer att kunna ha en inkomst om 1500 kr vid sidan av folkpensionen och ändock bli skattefri.
Tekniskt ordnas detta genom ett extra avdrag utöver grundavdraget.,Tekniskt detta ordnas genom ett extra avdrag utöver grundavdraget.
För att belysa verkningarna för folkpensionärerna av det nya systemet att beräkna extra avdrag åberopade finansministern i propositionen till riksdagen följande tabell.,För att belysa verkningarna för folkpensionärerna av det nya systemet att beräkna extra avdrag finansministern åberopade i propositionen till riksdagen följande tabell.
"Under militärtjänsten har du många skyldigheter, som berörs på de närmaste sidorna.","Under militärtjänsten du har många skyldigheter, som berörs på de närmaste sidorna."
Krav på disciplin möter du på de flesta andra områden i samhället.,Krav på disciplin du möter på de flesta andra områden i samhället.
"Under militärutbildningen måste du emellertid underordna dig på ett sätt, som kanske är nytt och besvärande.","Under militärutbildningen du måste emellertid underordna dig på ett sätt, som kanske är nytt och besvärande."
Under fredsutbildningen framkommer detta särskilt tydligt vid övningar med skarp ammunition.,Under fredsutbildningen detta framkommer särskilt tydligt vid övningar med skarp ammunition.
I krig utförs all verksamhet i skarpladdad miljö.,I krig all verksamhet utförs i skarpladdad miljö.
"Därför måste du hålla noggrann ordning på din utrustning och placera den i skåpet så, att sakerna är lätta att hitta och lätta att komma åt.","Därför du måste hålla noggrann ordning på din utrustning och placera den i skåpet så, att sakerna är lätta att hitta och lätta att komma åt."
"Ibland måste sakerna - t ex av säkerhetsskäl - ha sina bestämda platser, lika för alla inom ditt förband.","Ibland sakerna måste - t ex av säkerhetsskäl - ha sina bestämda platser, lika för alla inom ditt förband."
Småartiklar köper du bäst och billigast vid förbandets marketenteri och handelsbod.,Småartiklar du köper bäst och billigast vid förbandets marketenteri och handelsbod.
I regel väcks du kl 6 på morgonen.,I regel du väcks kl 6 på morgonen.
"Dessförinnan skall du ha hunnit med tvättning och rakning, frukost i matsalen, sängbäddning och kontroll av uniform, skor, vapen m m, så att allt är tiptop vid uppställningen.","Dessförinnan du skall ha hunnit med tvättning och rakning, frukost i matsalen, sängbäddning och kontroll av uniform, skor, vapen m m, så att allt är tiptop vid uppställningen."
"På förmiddagen tränas du i olika utbildningsgrenar, i regel till omkring kl 11.","På förmiddagen du tränas i olika utbildningsgrenar, i regel till omkring kl 11."
Då får du en dryg timmes lunchrast.,Då du får en dryg timmes lunchrast.
"Därefter börjar eftermiddagens övningar, som oftast pågår till kl 1700.","Därefter eftermiddagens övningar, som oftast pågår till kl 1700 börjar."
Sedan du skött om din utrustning och tvättat dig är det dags för middag.,Sedan skött om din utrustning och tvättat dig du är det dags för middag.
"Varje vecka ordnas en och ibland två kvällsövningar, då du skall lära dig uppträda i mörker.","Varje vecka en och ibland två kvällsövningar, då du skall lära dig uppträda i mörker ordnas."
