grammatical,ungrammatical
"I det nya skattesystemet bibehålls den gamla regeln att skattskyldig som bara har folkpension, inte påförs någon skatt.","I det nya skattesystemet bibehålls den gamla regeln att skattskyldig som bara har folkpension, påförs inte någon skatt."
"Om en adressort inte går att finna i del 1, bör man se efter om den förekommer i del 3, förteckning över indragna och namnändrade postanstalter, som börjar på sid 189.","Om en adressort går inte att finna i del 1, bör man se efter om den förekommer i del 3, förteckning över indragna och namnändrade postanstalter, som börjar på sid 189."
Ibland händer det att man inte kan hitta den adress man söker i förteckningen.,Ibland händer det att man kan inte hitta den adress man söker i förteckningen.
Eller också kan det gälla adresser till en gård eller en by i ett område där det inte finns gatuadresser.,Eller också kan det gälla adresser till en gård eller en by i ett område där det finns inte gatuadresser.
"Mindre än 1 % av svaren blir felaktiga, beroende bl.a. på att det vid enstaka graviditeter inte förekommer tillräcklig mängd av det ovan nämnda hormonet vid undersökningstillfället.","Mindre än 1 % av svaren blir felaktiga, beroende bl.a. på att det vid enstaka graviditeter förekommer inte tillräcklig mängd av det ovan nämnda hormonet vid undersökningstillfället."
Ibland utses också barnavårdsman för barn i äktenskap när föräldrarna inte lever tillsammans.,Ibland utses också barnavårdsman för barn i äktenskap när föräldrarna lever inte tillsammans.
"Där kan hyrorna i stort sett inte ändras såvida inte kostnaderna ökar för fastighetsförvaltning, genom ombyggnad eller förbättring.","Där kan hyrorna i stort sett inte ändras såvida kostnaderna ökar inte för fastighetsförvaltning, genom ombyggnad eller förbättring."
Det är riksdagens avsikt att myntreformen inte ska leda till prisändringar.,Det är riksdagens avsikt att myntreformen ska inte leda till prisändringar.
"Till exempel smör, bröd, kött, mjölk måste fortfarande kunna ha styckepriser som inte slutar med fem eller noll öre.","Till exempel smör, bröd, kött, mjölk måste fortfarande kunna ha styckepriser som slutar inte med fem eller noll öre."
Den som väljer flytväst bör se till att den inte känns irriterande.,Den som väljer flytväst bör se till att den känns inte irriterande.
Den har egen flytförmåga som inte påverkas av till exempel stickskador.,Den har egen flytförmåga som påverkas inte av till exempel stickskador.
Till detta kommer de dödade och skadade som inte själva åkte bil - fotgängare och cyklister.,Till detta kommer de dödade och skadade som åkte själva inte bil - fotgängare och cyklister.
"Om du inte bryter mot förbuden mot omkörning och om det kan ske utan fara får du överskrida en varningslinje vid möte med gående och då du kör om gående, cyklist eller fordon som går långsamt eller står stilla.","Om du bryter inte mot förbuden mot omkörning och om det kan ske utan fara får du överskrida en varningslinje vid möte med gående och då du kör om gående, cyklist eller fordon som går långsamt eller står stilla."
Om du inte har med dig valsedlar finns de i allmänhet vid vallokalen.,Om du har inte med dig valsedlar finns de i allmänhet vid vallokalen.
"Även om det inte skulle bli någon nettoinflyttning utan befolkningen bara skulle öka genom födelseöverskott, behövs därför 135000 nya lägenheter under 15-årsperioden.","Även om det skulle inte bli någon nettoinflyttning utan befolkningen bara skulle öka genom födelseöverskott, behövs därför 135000 nya lägenheter under 15-årsperioden."
Även om befolkningen inte skulle öka behöver man bygga många nya arbetslokaler för att ersätta trånga och otidsenliga arbetsplatser.,Även om befolkningen skulle inte öka behöver man bygga många nya arbetslokaler för att ersätta trånga och otidsenliga arbetsplatser.
Den som inte har fast bostad får hyresbidrag med 150-200 kr / mån.,Den som har inte fast bostad får hyresbidrag med 150-200 kr / mån.
"Villkor för utbildningsbidrag - att den sökande är eller löper risk att bli arbetslös eller har svårt att finna lämpligt arbete - att den sökande fyllt 21 år (undantag finns dock från detta villkor). - att man söker arbete genom arbetsförmedlingen. - att utbildningen kan medföra stadigvarande arbete, som inte kan komma till stånd utan utbildning. - att utbildningen planerats i samråd med arbetsförmedlingen.","Villkor för utbildningsbidrag - att den sökande är eller löper risk att bli arbetslös eller har svårt att finna lämpligt arbete - att den sökande fyllt 21 år (undantag finns dock från detta villkor). - att man söker arbete genom arbetsförmedlingen. - att utbildningen kan medföra stadigvarande arbete, som kan inte komma till stånd utan utbildning. - att utbildningen planerats i samråd med arbetsförmedlingen."
När det inte finns lämpligt arbete på hemorten kan samhället ge bidrag åt den som vill flytta till en ort där man kan få arbete.,När det finns inte lämpligt arbete på hemorten kan samhället ge bidrag åt den som vill flytta till en ort där man kan få arbete.
"Avsikten med bidragen är att den enskilde inte ska drabbas alltför hårt av förändringarna på arbetsmarknaden, utan så långt som möjligt få sina kostnader i samband med flyttning täckta.","Avsikten med bidragen är att den enskilde ska inte drabbas alltför hårt av förändringarna på arbetsmarknaden, utan så långt som möjligt få sina kostnader i samband med flyttning täckta."
"Den utbetalas till arbetslösa, som inte är med i någon arbetslöshetskassa eller vilkas ersättning från kassan upphört.","Den utbetalas till arbetslösa, som är inte med i någon arbetslöshetskassa eller vilkas ersättning från kassan upphört."
