grammatical,ungrammatical
Det nya systemet gör att du redan i förväg vet vad det kostar att anlita läkare om du blir sjuk.,Det nya systemet gör att du redan i förväg vet vad kostar det att anlita läkare om du blir sjuk.
Bilköparen har rätt att veta vad han / hon lägger ner pengar på.,Bilköparen har rätt att veta vad lägger han / hon ner pengar på.
Att de fortfarande är medlemmar beror ofta på att de inte vet hur enkelt det är att gå ur.,Att de fortfarande är medlemmar beror ofta på att de inte vet hur enkelt är det att gå ur.
"Det gamla knepet att köra upp bilen mot garageväggen och kolla ljuset är värdelöst; då får du möjligen veta om båda strålkastarna lyser, men inte mycket mera.","Det gamla knepet att köra upp bilen mot garageväggen och kolla ljuset är värdelöst; då får du möjligen veta om lyser båda strålkastarna, men inte mycket mera."
Men varken Jerome Bayless eller någon annan vet alltså om hasarden kommer att ge någon utdelning.,Men varken Jerome Bayless eller någon annan vet alltså om kommer hasarden att ge någon utdelning.
"Och i väntan på vad över 700000 poströster ska betyda för regeringsinnehav och riksdagssammansättning är det naturligt att undra varför betänkandet från 1965 års valtekniska utredning, framlagt i fjol höst (SOU 1969:19) och innehållande just den datavalteknik som här redovisats, inte blev omsatt i praktiken till 1970 års val.","Och i väntan på vad över 700000 poströster ska betyda för regeringsinnehav och riksdagssammansättning är det naturligt att undra varför blev betänkandet från 1965 års valtekniska utredning, framlagt i fjol höst (SOU 1969:19) och innehållande just den datavalteknik som här redovisats, inte omsatt i praktiken till 1970 års val."
"Ännu mot slutet av veckan efter det stora valet, vet man inte säkert hur valresultatet blev.","Ännu mot slutet av veckan efter det stora valet, vet man inte säkert hur blev valresultatet."
"Kusin Ruth har lärt sig den nya matematiken, och frågar man henne vad sex gånger sex är svarar hon prompt:","Kusin Ruth har lärt sig den nya matematiken, och frågar man henne vad är sex gånger sex svarar hon prompt:"
"Och det är naturligt, att vi frågar oss, om just engiftet ger individerna största möjliga lycka och nytta.","Och det är naturligt, att vi frågar oss, om ger just engiftet individerna största möjliga lycka och nytta."
Sök förklara varför dessa fyndigheter inte har exploterats?,Sök förklara varför har dessa fyndigheter inte exploterats?
Jag vet inte vad de tycker hemma om detta.,Jag vet inte vad tycker de hemma om detta.
Det skulle för övrigt vara intressant att veta hur flickorna ser på maktförhållandet.,Det skulle för övrigt vara intressant att veta hur ser flickorna på maktförhållandet.
"Undersök i din egen stad, om du kan finna exempel på båda dessa typer av kvarter.","Undersök i din egen stad, om kan du finna exempel på båda dessa typer av kvarter."
"Andra frågar, varför sådana uppgifter skall höra till könsrollen, och menar, att pojkar har lika stor anledning som flickor att utbildas i textilslöjd och hemkunskap.","Andra frågar, varför skall sådana uppgifter höra till könsrollen, och menar, att pojkar har lika stor anledning som flickor att utbildas i textilslöjd och hemkunskap."
"Är det fråga om rätt och orätt, när man diskuterar, hur uppgifterna i familj och samhälle ska fördelas på könen, om över huvud taget fördelningen ska ta hänsyn till kön?","Är det fråga om rätt och orätt, när man diskuterar, hur ska uppgifterna i familj och samhälle fördelas på könen, om över huvud taget fördelningen ska ta hänsyn till kön?"
"Man kan också fråga, om det i ett polygamt förhållande är möjligt för mannen att ge sina hustrur samma omsorg, samma hänsyn, samma kärlek.","Man kan också fråga, om är det i ett polygamt förhållande möjligt för mannen att ge sina hustrur samma omsorg, samma hänsyn, samma kärlek."
Vi vet inte hur stor den dolda kriminaliteten är.,Vi vet inte hur stor är den dolda kriminaliteten.
I det andra fallet kan man fråga sig om inte den terapeutiska synen på familjen har sin grund i en underförstådd negativ uppfattning av samhället utanför den egna privata kretsen.,I det andra fallet kan man fråga sig om har inte den terapeutiska synen på familjen sin grund i en underförstådd negativ uppfattning av samhället utanför den egna privata kretsen.
Därefter började han fundera över vad Max Work skulle ha tänkt om han hade varit där.,Därefter började han fundera över vad skulle Max Work ha tänkt om han hade varit där.
Quinn visste inte vad han skulle göra.,Quinn visste inte vad skulle han göra.
Medan bilen slamrande körde genom parken i riktning mot de västra stadsdelarna såg Quinn ut genom rutan och funderade över om det var de här träden som Peter Stillman brukade betrakta under sina promenader ut i luften och ljuset.,Medan bilen slamrande körde genom parken i riktning mot de västra stadsdelarna såg Quinn ut genom rutan och funderade över om var det de här träden som Peter Stillman brukade betrakta under sina promenader ut i luften och ljuset.
Han undrade om Peter såg samma saker som han själv gjorde eller om världen såg annorlunda ut för honom.,Han undrade om såg Peter samma saker som han själv gjorde eller om världen såg annorlunda ut för honom.
Antingen visste Stillman vad han gjorde eller också visste han det inte.,Antingen visste Stillman vad gjorde han eller också visste han det inte.
Jag undrar om jag kan få prata med er. Det är ganska viktigt.,Jag undrar om kan jag få prata med er. Det är ganska viktigt.
Gång på gång frågar han sig om hans krönikör kommer att ge en riktig beskrivning av hans äventyr.,Gång på gång frågar han sig om kommer hans krönikör att ge en riktig beskrivning av hans äventyr.
Men ni har fortfarande inte förklarat hur det kommer sig att en man som Don Quijote bryter upp från sin lugna tillvaro för att ägna sig åt en så utstuderad form av bedrägeri.,Men ni har fortfarande inte förklarat hur kommer det sig att en man som Don Quijote bryter upp från sin lugna tillvaro för att ägna sig åt en så utstuderad form av bedrägeri.
Siri kan inte. Och jag vet inte hur man gör.,Siri kan inte. Och jag vet inte hur gör man.
"Quinn frågade om han fick försöka, och pojken kom fram och räckte över jojon till honom.","Quinn frågade om fick han försöka, och pojken kom fram och räckte över jojon till honom."
Medan han undersökte den hörde han hur pojken andades alldeles intill honom och iakttog varje hans rörelse.,Medan han undersökte den hörde han hur andades pojken alldeles intill honom och iakttog varje hans rörelse.
Han tryckte den och kände hur förfärande bräcklig hennes benstomme var. Han frågade om hennes namn var norskt.,Han tryckte den och kände hur förfärande bräcklig hennes benstomme var. Han frågade om var hennes namn norskt.
Slutligen ringde han televerket och frågade om det var något fel på telefonen.,Slutligen ringde han televerket och frågade om var det något fel på telefonen.
Quinn visste inte vad han skulle tro.,Quinn visste inte vad skulle han tro.
Jag frågar en av värdinnorna när jag kan räkna med att få en drink och hon utbrister irriterat: Gå tillbaka till er plats!,Jag frågar en av värdinnorna när kan jag räkna med att få en drink och hon utbrister irriterat: Gå tillbaka till er plats!
Min fru undrar roat varför jag beställde en koscherlunch.,Min fru undrar roat varför beställde jag en koscherlunch.
Ibland undrar jag om det är därför som världen har så svårt att fördra dem.,Ibland undrar jag om är det därför som världen har så svårt att fördra dem.
"De stängde in ugglan i färgskrubben medan de diskuterade vad de skulle göra med den, och på natten släppte John ut den.","De stängde in ugglan i färgskrubben medan de diskuterade vad skulle de göra med den, och på natten släppte John ut den."
Och du undrar om folk kommer att tala öppet med dig?,Och du undrar om kommer folk att tala öppet med dig?
"Tänk er hur det ska ha känts för befälhavaren på en ståtlig – vad hette det nu – trirem i Medelhavet som plötsligt fick order att bege sig norrut, i expressfart transporterades tvärs över de båda Gallierna, gavs befäl över en farkost av det slag som legionärerna – som måtte ha varit ett förbluffande händigt släkte – brukade snickra ihop, tydligen i hundratal, på ett par månader, om vi får tro vad vi läser.","Tänk er hur ska det ha känts för befälhavaren på en ståtlig – vad hette det nu – trirem i Medelhavet som plötsligt fick order att bege sig norrut, i expressfart transporterades tvärs över de båda Gallierna, gavs befäl över en farkost av det slag som legionärerna – som måtte ha varit ett förbluffande händigt släkte – brukade snickra ihop, tydligen i hundratal, på ett par månader, om vi får tro vad vi läser."
"Men för att kunna förstå dess verkan på mig måste ni i alla fall veta hur jag kom dit ut, vad jag såg, hur jag färdades uppför floden till den plats där jag träffade på den stackars mannen.","Men för att kunna förstå dess verkan på mig måste ni i alla fall veta hur kom jag dit ut, vad jag såg, hur jag färdades uppför floden till den plats där jag träffade på den stackars mannen."
Man frågar sig vad det blir av såna när de kommer inåt land.,Man frågar sig vad blir det av såna när de kommer inåt land.
Jag frågade mig vad jag hade där att göra nu när min båt var borta.,Jag frågade mig vad hade jag där att göra nu när min båt var borta.
Jag måste ibland fråga mig vad meningen var med alltihop.,Jag måste ibland fråga mig vad var meningen med alltihop.
"I den känsla av frigjordhet som den fysiska kontakten åstadkom sade han till Mweta: Jag vet inte riktigt vad vi talar om, och Mweta svarade: Dig... jag sa att vi väntar dig tillbaka, nu.","I den känsla av frigjordhet som den fysiska kontakten åstadkom sade han till Mweta: Jag vet inte riktigt vad talar vi om, och Mweta svarade: Dig... jag sa att vi väntar dig tillbaka, nu."
"Den lidelsefulla begynnelsen, den mångåriga öppenheten och förståelsen mellan dem borde ha gjort det naturligt att hon skulle veta vad han ville.","Den lidelsefulla begynnelsen, den mångåriga öppenheten och förståelsen mellan dem borde ha gjort det naturligt att hon skulle veta vad ville han."
"Så frågan om vad de egentligen talade om bestod i grund och botten av hennes dolda, undertryckta, indämda önskan att få veta om detta hus, detta liv i Wiltshire, detta liv – till sist – för honom tedde sig som det slutgiltiga, innerst inne.","Så frågan om vad de egentligen talade om bestod i grund och botten av hennes dolda, undertryckta, indämda önskan att få veta om tedde detta hus, detta liv i Wiltshire, detta liv – till sist – för honom sig som det slutgiltiga, innerst inne."
